n,d,trial,membership_fraction,ms_alignment,pca_alignment,rpca_alignment,ms_selected_index,stable_component_count
500,500,0,0.056,0.9987776162707056,0.0465857774206611,0.03996552459185946,1,3
500,500,1,0.056,0.9992721259758199,0.02086339986841607,0.011307938137063734,1,4
500,500,2,0.05,0.9778350934387028,0.20326149989571002,0.19312079032444404,1,4
500,500,3,0.042,0.9978615662939995,0.06117405552370474,0.04481931678594358,1,3
500,500,4,0.036,0.028461993085852965,0.21216740764796235,0.22913859699488867,2,3
500,500,5,0.044,0.9993235780052129,0.03297732959697356,0.042444298250980624,1,4
500,500,6,0.044,0.9993655572830855,0.03348296103373993,0.0001799058938553839,1,3
500,500,7,0.042,0.9946018144297424,0.09409625239510988,0.08351850716330858,1,3
500,500,8,0.048,0.9987101133414181,0.0486994030141968,0.06590977081617501,1,4
500,500,9,0.042,0.989071994004247,0.14031334198717013,0.1437470538361575,1,3
500,500,10,0.062,0.9980718517746325,0.026428924600234358,0.003118276302453744,1,4
500,500,11,0.056,0.9953369304375274,0.08600414474305253,0.09178990917059272,1,3
1000,1000,0,0.042,0.9993306961985907,0.03305186892527528,,1,4
1000,1000,1,0.061,0.9961425225284992,0.08102486311581465,,1,3
1000,1000,2,0.046,0.999923526191457,0.011669590073144415,,1,4
1000,1000,3,0.048,0.975187287732596,0.20000651699956679,,1,3
1000,1000,4,0.044,0.9888355229662997,0.14573848148203902,,1,3
1000,1000,5,0.05,0.00907488213467348,0.20955072145772846,,2,2
1000,1000,6,0.04,0.9873369984048639,0.15436196182116518,,1,4
1000,1000,7,0.056,0.9920829026119947,0.11690893002316295,,1,3
1000,1000,8,0.052,0.9892788513601718,0.14058246436610286,,1,4
1000,1000,9,0.063,0.996977372859207,0.07451179623700624,,1,3
1000,1000,10,0.045,0.9990721648842575,0.03133457177539208,,1,3
1000,1000,11,0.055,0.9916718543151853,0.1205595634920569,,1,3
2000,2000,0,0.0445,0.9864929492789566,0.1586686277838668,,1,3
2000,2000,1,0.0455,0.9992254246410011,0.029290068989106965,,1,3
2000,2000,2,0.0525,0.9995420248003795,0.029563766609525713,,1,3
2000,2000,3,0.044,0.9999319838933372,0.01050838963662496,,1,3
2000,2000,4,0.0415,0.9997966073829831,0.017475579159235678,,1,3
2000,2000,5,0.049,0.9998899676410965,0.011700838612450512,,1,4
2000,2000,6,0.046,0.9980874691537915,0.05838804177503014,,1,4
2000,2000,7,0.0465,0.9826036094132828,0.17918929504335113,,1,3
2000,2000,8,0.05,0.9999306970774544,0.003868711205315463,,1,4
2000,2000,9,0.0485,0.9964490267072769,0.07772020863799133,,1,4
2000,2000,10,0.056,0.9986072654033336,0.048975518774470324,,1,3
2000,2000,11,0.0445,0.9886991119046564,0.139698491980899,,1,3

